customer_id,first_name,last_name,gender,dob,city,state,occupation,account_open_date,account_type,balance,credit_score,loan_status,loan_id,loan_type,loan_amount,interest_rate,tenure_months,start_date,end_date,status_loan,transaction_id,transaction_date,transaction_type,amount,transaction_mode,merchant,status_transaction
15,Trisha,Dhillon,M,1957-11-18,Chennai,Assam,Retired,2019-08-23,Savings,296614.87,430,Closed,,,,,,,,,47405,2023-10-19 20:19:14,Transfer,1118.92,Branch,Electricity Board,Success
16,Vaibhav,Dewan,O,1970-08-10,Hyderabad,Manipur,Doctor,2017-06-25,Fixed Deposit,430110.26,320,No Loan,1379.0,Home,2200379.68,7.7,60.0,2024-06-07,2029-06-07,Closed,7050,2025-08-22 01:22:11,Withdrawal,9762.31,UPI,,Success
17,Ishaan,Goyal,F,1998-01-09,Hyderabad,Kerala,Retired,2021-12-20,Salary,225799.13,573,Active,460.0,Personal,2791488.61,10.74,36.0,2025-04-30,2028-04-30,Closed,16750,2024-08-21 06:24:08,Transfer,5375.29,UPI,Water Board,Success
18,Rati,Sanghvi,M,1969-01-08,Mumbai,Rajasthan,Other,2020-04-21,Salary,474493.88,615,No Loan,,,,,,,,,8981,2023-10-27 11:44:24,Bill Payment,2098.52,ATM,Amazon,Success
19,Hazel,Sethi,F,1959-08-16,Delhi,Haryana,Doctor,2018-09-04,Salary,282080.82,645,Closed,1535.0,Business,904649.85,8.57,84.0,2023-05-23,2030-05-23,Closed,44773,2023-10-22 17:21:28,Transfer,14155.45,Branch,Water Board,Success
19,Hazel,Sethi,F,1959-08-16,Delhi,Haryana,Doctor,2018-09-04,Salary,282080.82,645,Closed,1790.0,Personal,3525076.56,12.31,60.0,2024-01-18,2029-01-18,Closed,44773,2023-10-22 17:21:28,Transfer,14155.45,Branch,Water Board,Success
20,Vaibhav,Deshmukh,O,1965-11-19,Ahmedabad,Rajasthan,Business,2023-08-18,Fixed Deposit,49738.38,639,Closed,102.0,Car,1027557.09,13.79,84.0,2023-05-02,2030-05-02,Active,34707,2025-03-05 05:23:23,Transfer,1840.8,UPI,BigBasket,Success
21,Madhup,Sani,F,2001-08-05,Bangalore,Karnataka,Doctor,2025-03-28,Salary,121271.71,754,No Loan,566.0,Business,1737338.87,9.77,120.0,2023-02-11,2033-02-11,Defaulted,14115,2025-06-25 04:28:06,Withdrawal,9336.75,UPI,,Success
22,Manikya,Tara,O,2007-01-18,Kolkata,Arunachal Pradesh,Teacher,2016-09-18,Current,305388.33,334,Closed,740.0,Home,3868850.13,6.66,12.0,2021-11-02,2022-11-02,Defaulted,14843,2024-03-22 08:28:21,Deposit,17040.29,Online,,Success
22,Manikya,Tara,O,2007-01-18,Kolkata,Arunachal Pradesh,Teacher,2016-09-18,Current,305388.33,334,Closed,1189.0,Personal,1820697.99,13.26,48.0,2021-05-03,2025-05-03,Defaulted,14843,2024-03-22 08:28:21,Deposit,17040.29,Online,,Success
22,Manikya,Tara,O,2007-01-18,Kolkata,Arunachal Pradesh,Teacher,2016-09-18,Current,305388.33,334,Closed,1932.0,Car,1446109.66,10.88,120.0,2024-08-04,2034-08-04,Active,14843,2024-03-22 08:28:21,Deposit,17040.29,Online,,Success
23,Priyansh,Bali,O,1976-03-25,Ahmedabad,Gujarat,Engineer,2022-08-03,Savings,454750.88,687,Active,,,,,,,,,43536,2025-02-10 20:28:28,Deposit,14236.49,Online,,Pending
24,Lakshit,Sagar,M,1993-05-12,Bangalore,Meghalaya,Other,2021-02-12,Fixed Deposit,156543.83,689,Active,,,,,,,,,20040,2024-06-17 10:17:40,Withdrawal,8740.88,ATM,,Success
25,Hridaan,Deo,F,1981-09-08,Kolkata,Chhattisgarh,Student,2023-07-28,Fixed Deposit,104762.89,776,Defaulted,,,,,,,,,14538,2023-12-03 01:15:59,Deposit,1191.75,ATM,,Success
26,Heer,Deep,O,1971-07-19,Mumbai,Telangana,Retired,2025-04-25,Savings,484822.73,461,Defaulted,,,,,,,,,3326,2025-03-27 19:38:45,Transfer,7136.95,ATM,Gas Supplier,Success
27,Keya,Iyengar,O,1994-07-18,Pune,Kerala,Engineer,2023-01-20,Salary,198179.97,569,No Loan,,,,,,,,,22239,2024-08-28 04:04:26,Transfer,188.08,ATM,Water Board,Success
28,Diya,Koshy,M,1969-09-09,Ahmedabad,Assam,Engineer,2018-02-12,Salary,363908.73,570,Closed,,,,,,,,,29903,2024-06-04 01:44:14,Withdrawal,1679.83,Online,,Success
29,Faiyaz,Bose,O,2006-03-13,Delhi,Rajasthan,Other,2016-07-25,Salary,45157.76,551,Closed,477.0,Education,4377767.97,7.58,84.0,2024-11-09,2031-11-09,Defaulted,917,2023-12-17 01:53:40,Transfer,4342.84,Online,Electricity Board,Success
29,Faiyaz,Bose,O,2006-03-13,Delhi,Rajasthan,Other,2016-07-25,Salary,45157.76,551,Closed,1467.0,Car,2220223.02,10.92,36.0,2023-08-14,2026-08-14,Active,917,2023-12-17 01:53:40,Transfer,4342.84,Online,Electricity Board,Success
30,Kimaya,Balay,M,1965-08-26,Pune,Madhya Pradesh,Other,2022-12-12,Current,23568.42,595,Active,1568.0,Education,2203171.69,10.97,24.0,2024-06-12,2026-06-12,Closed,28373,2025-06-21 21:56:04,Withdrawal,1750.31,Branch,,Success
31,Eva,Dass,O,1980-09-25,Pune,Nagaland,Business,2023-09-23,Savings,422422.39,637,Active,1594.0,Business,2083346.59,13.51,60.0,2022-05-14,2027-05-14,Defaulted,8262,2023-10-28 14:02:03,Deposit,4983.93,Online,,Success
32,Pihu,Wali,F,1955-07-19,Chennai,Nagaland,Doctor,2017-09-17,Savings,270306.37,516,Closed,,,,,,,,,34785,2024-11-19 22:49:04,Deposit,14891.56,UPI,,Success
33,Tiya,Rege,O,2005-11-11,Delhi,Karnataka,Engineer,2020-04-20,Fixed Deposit,141186.32,679,Active,,,,,,,,,44385,2025-02-21 08:07:16,Deposit,5821.98,UPI,,Success
34,Adira,Brar,O,1962-05-10,Bangalore,Manipur,Doctor,2020-10-03,Fixed Deposit,138723.59,456,Closed,,,,,,,,,24156,2024-03-25 18:57:19,Deposit,1308.06,Branch,,Success
35,Damini,Singh,F,1954-12-26,Kolkata,Goa,Doctor,2020-03-30,Current,401296.29,364,Defaulted,,,,,,,,,3725,2024-06-09 21:16:30,Deposit,23592.04,ATM,,Success
36,Mishti,Dixit,F,1989-04-24,Pune,Uttarakhand,Business,2017-07-29,Fixed Deposit,8802.57,820,Active,796.0,Personal,4764633.75,6.7,36.0,2022-04-12,2025-04-12,Closed,44875,2025-05-29 05:55:01,Bill Payment,10117.24,Branch,IRCTC,Success
36,Mishti,Dixit,F,1989-04-24,Pune,Uttarakhand,Business,2017-07-29,Fixed Deposit,8802.57,820,Active,1959.0,Business,709472.4,8.13,12.0,2024-07-08,2025-07-08,Closed,44875,2025-05-29 05:55:01,Bill Payment,10117.24,Branch,IRCTC,Success
37,Mahika,Chaudhary,M,1998-03-31,Hyderabad,Chhattisgarh,Engineer,2024-05-26,Salary,386350.14,771,Active,695.0,Car,4021329.64,14.41,120.0,2021-07-13,2031-07-13,Active,24903,2024-02-29 21:03:44,Transfer,2555.08,UPI,Water Board,Success
38,Hrishita,Sood,O,1980-03-17,Hyderabad,Mizoram,Student,2018-07-06,Current,8025.83,798,Active,,,,,,,,,7791,2025-04-26 20:07:18,Deposit,3326.96,UPI,,Success
39,Ayesha,Andra,M,1954-10-21,Mumbai,Bihar,Doctor,2021-04-12,Savings,353721.81,718,Active,,,,,,,,,5327,2024-08-17 21:13:46,Withdrawal,1609.23,ATM,,Failed
40,Nakul,Balakrishnan,F,1979-06-19,Delhi,Haryana,Student,2020-12-29,Current,385863.9,789,Defaulted,531.0,Personal,2003413.9,9.48,12.0,2020-10-12,2021-10-12,Active,23470,2025-09-11 02:08:05,Withdrawal,5429.37,ATM,,Success
40,Nakul,Balakrishnan,F,1979-06-19,Delhi,Haryana,Student,2020-12-29,Current,385863.9,789,Defaulted,842.0,Business,767248.36,7.92,48.0,2023-02-19,2027-02-19,Active,23470,2025-09-11 02:08:05,Withdrawal,5429.37,ATM,,Success
41,Dharmajan,Setty,O,1993-05-16,Ahmedabad,Meghalaya,Doctor,2017-02-07,Current,179874.4,340,No Loan,1859.0,Business,845542.15,12.37,48.0,2021-05-24,2025-05-24,Defaulted,1234,2023-10-24 21:49:15,Withdrawal,872.25,Online,,Success
42,Tiya,Bhatnagar,M,1959-06-23,Ahmedabad,Chhattisgarh,Other,2024-10-29,Fixed Deposit,457564.88,500,Closed,,,,,,,,,25757,2023-11-15 18:44:21,Deposit,2334.13,Branch,,Success
43,Ira,Butala,M,1999-08-30,Delhi,Himachal Pradesh,Retired,2023-11-07,Fixed Deposit,312025.77,332,Defaulted,,,,,,,,,14744,2024-04-29 16:00:01,Bill Payment,23533.56,UPI,Amazon,Success
44,Lakshit,Madan,F,1990-09-03,Kolkata,Tripura,Business,2022-12-18,Savings,32715.62,706,Active,,,,,,,,,2777,2024-05-28 18:08:52,Deposit,25556.28,UPI,,Success
45,Riya,Dugal,M,2004-06-08,Kolkata,Madhya Pradesh,Retired,2019-03-09,Salary,334751.79,398,Active,,,,,,,,,10395,2024-05-17 03:45:09,Transfer,6274.11,Branch,Amazon,Success
46,Advika,Yogi,M,2000-06-21,Hyderabad,Mizoram,Doctor,2022-02-12,Fixed Deposit,296057.6,846,Closed,,,,,,,,,33476,2024-08-02 13:02:09,Transfer,7408.78,Branch,PayTM,Success
47,Nishith,Chowdhury,F,1985-06-27,Bangalore,Assam,Teacher,2017-10-27,Fixed Deposit,236635.25,761,Closed,,,,,,,,,25411,2024-07-17 14:55:14,Bill Payment,4428.42,ATM,Reliance,Success
48,Khushi,Malhotra,M,1977-10-09,Ahmedabad,Haryana,Other,2016-02-14,Savings,424608.0,304,Active,615.0,Business,1835902.59,11.4,84.0,2024-10-03,2031-10-03,Active,5841,2025-03-04 19:27:47,Withdrawal,199.8,Branch,,Success
49,Aarush,Banik,O,1994-10-22,Mumbai,Tamil Nadu,Engineer,2019-07-06,Current,281077.32,697,Closed,1850.0,Personal,1893072.2,9.05,72.0,2025-04-15,2031-04-15,Defaulted,29069,2024-05-26 05:34:05,Deposit,8616.55,Online,,Success
50,Manikya,Bandi,F,1997-09-17,Ahmedabad,Arunachal Pradesh,Business,2016-10-06,Current,247404.0,692,No Loan,,,,,,,,,7969,2025-05-31 08:07:25,Deposit,10628.81,UPI,,Success
51,Drishya,Dani,M,1977-04-01,Bangalore,Himachal Pradesh,Business,2016-12-20,Savings,355620.78,760,No Loan,,,,,,,,,19317,2025-01-20 19:51:57,Deposit,5901.32,Online,,Pending
52,Lakshit,Madan,F,2000-04-15,Ahmedabad,Chhattisgarh,Teacher,2024-01-09,Fixed Deposit,101657.88,540,No Loan,,,,,,,,,48767,2024-12-25 18:04:44,Deposit,7082.54,Branch,,Pending
53,Kashvi,Khalsa,M,2003-12-28,Hyderabad,Haryana,Teacher,2025-06-24,Current,157863.63,395,Active,688.0,Business,3887812.98,11.1,36.0,2025-02-08,2028-02-08,Closed,25462,2025-06-08 04:21:58,Withdrawal,11343.89,UPI,,Success
53,Kashvi,Khalsa,M,2003-12-28,Hyderabad,Haryana,Teacher,2025-06-24,Current,157863.63,395,Active,1777.0,Home,3342133.33,13.22,84.0,2021-05-16,2028-05-16,Active,25462,2025-06-08 04:21:58,Withdrawal,11343.89,UPI,,Success
54,Kanav,Batta,O,1986-12-13,Mumbai,Bihar,Retired,2022-09-09,Salary,348062.53,784,Active,,,,,,,,,10605,2025-05-03 20:45:48,Deposit,19081.93,UPI,,Success
55,Sumer,Kakar,M,1999-08-11,Ahmedabad,Maharashtra,Student,2023-02-05,Current,125396.82,470,Active,1912.0,Business,3429758.53,8.4,36.0,2024-08-23,2027-08-23,Closed,43099,2024-04-21 06:37:33,Withdrawal,11604.42,UPI,,Success
56,Pari,Sachdeva,O,1986-07-18,Delhi,Rajasthan,Other,2016-09-07,Current,102327.55,824,Active,,,,,,,,,37943,2025-06-25 17:55:04,Transfer,10964.3,Online,BigBasket,Success
57,Yuvaan,Seth,O,1961-06-18,Delhi,Karnataka,Retired,2016-10-17,Current,39412.98,542,No Loan,60.0,Education,4692540.53,10.84,72.0,2024-02-15,2030-02-15,Active,7602,2024-05-06 23:23:30,Withdrawal,8876.92,UPI,,Success
58,Kartik,Chandran,M,1962-03-14,Hyderabad,Nagaland,Student,2019-12-30,Savings,81449.42,327,Active,1983.0,Home,4991600.62,7.95,120.0,2022-07-09,2032-07-09,Defaulted,1473,2024-01-26 05:56:47,Deposit,27442.18,Online,,Success
59,Aarna,Chand,F,1985-04-17,Pune,Himachal Pradesh,Teacher,2018-02-24,Current,110001.78,639,Defaulted,,,,,,,,,2413,2025-05-18 20:43:11,Transfer,7731.69,UPI,Reliance,Pending
60,Dhanuk,Kant,M,1986-03-31,Chennai,Uttar Pradesh,Business,2020-01-06,Current,446386.94,630,Defaulted,,,,,,,,,33561,2024-12-27 17:23:38,Withdrawal,12891.13,Branch,,Success
61,Badal,Sachdev,F,1992-03-19,Pune,Nagaland,Other,2017-06-06,Savings,162848.17,647,Active,,,,,,,,,35116,2024-02-26 18:07:31,Deposit,3715.31,Online,,Success
62,Suhana,Vala,F,1955-10-08,Delhi,Haryana,Engineer,2017-05-08,Current,178792.62,489,Defaulted,,,,,,,,,36457,2024-08-09 16:19:16,Deposit,5714.15,ATM,,Success
63,Aradhya,Khosla,M,1966-01-30,Pune,Gujarat,Engineer,2022-09-05,Current,55915.91,676,Defaulted,,,,,,,,,43621,2025-10-02 21:11:22,Bill Payment,15289.23,Online,IRCTC,Success
64,Ivan,Gupta,F,1982-01-20,Bangalore,Andhra Pradesh,Business,2016-10-05,Salary,324197.37,558,Active,480.0,Education,4518741.44,14.2,120.0,2024-11-03,2034-11-03,Active,31448,2025-03-25 03:05:32,Deposit,13878.98,ATM,,Success
65,Vardaniya,Srinivasan,O,1981-05-01,Chennai,Manipur,Retired,2020-04-10,Savings,4469.11,755,Closed,,,,,,,,,42954,2025-04-14 05:25:59,Deposit,1096.92,ATM,,Success
66,Rasha,Setty,F,1974-03-05,Delhi,Uttar Pradesh,Engineer,2022-12-17,Current,267510.62,617,Defaulted,15.0,Home,4240426.34,9.92,24.0,2023-03-04,2025-03-04,Active,21685,2023-12-16 21:30:26,Transfer,7980.04,UPI,BigBasket,Success
66,Rasha,Setty,F,1974-03-05,Delhi,Uttar Pradesh,Engineer,2022-12-17,Current,267510.62,617,Defaulted,697.0,Car,4688867.59,7.84,120.0,2024-12-01,2034-12-01,Defaulted,21685,2023-12-16 21:30:26,Transfer,7980.04,UPI,BigBasket,Success
67,Indrans,Chandran,F,1992-08-01,Hyderabad,Jharkhand,Retired,2024-01-17,Salary,111831.8,533,Closed,,,,,,,,,29629,2024-06-18 02:37:14,Deposit,15109.71,ATM,,Success
68,Kavya,Shah,O,1969-07-30,Chennai,Nagaland,Student,2016-10-04,Fixed Deposit,169469.97,673,Defaulted,837.0,Education,932253.84,13.37,12.0,2022-07-30,2023-07-30,Active,18400,2025-06-11 19:11:27,Withdrawal,5763.81,Online,,Success
69,Bhavin,Bakshi,M,1958-11-30,Delhi,Odisha,Retired,2021-02-05,Fixed Deposit,110163.35,771,Defaulted,13.0,Home,4186075.01,14.24,72.0,2021-02-23,2027-02-23,Active,36920,2024-01-29 20:41:35,Deposit,17925.75,ATM,,Success
70,Eva,Brar,M,1987-03-18,Mumbai,Arunachal Pradesh,Teacher,2024-04-26,Current,351806.46,412,Defaulted,,,,,,,,,8581,2024-02-20 04:24:47,Deposit,8594.74,ATM,,Success
71,Kabir,Banerjee,M,1989-04-28,Ahmedabad,Punjab,Student,2017-02-15,Fixed Deposit,33381.23,741,Active,,,,,,,,,6509,2024-03-30 23:59:43,Withdrawal,15044.01,UPI,,Success
72,Yuvaan,Bhasin,M,1959-05-23,Delhi,Odisha,Retired,2019-10-07,Current,481261.2,809,Active,,,,,,,,,10544,2024-02-11 19:35:12,Deposit,7458.74,ATM,,Success
73,Kimaya,Bahri,F,1971-07-09,Bangalore,Punjab,Business,2025-08-12,Current,348455.83,686,Active,939.0,Home,651480.29,12.98,120.0,2021-08-13,2031-08-13,Closed,292,2023-11-13 14:09:19,Transfer,8068.37,UPI,Flipkart,Success
74,Nirvi,Manne,F,1960-05-05,Pune,Odisha,Other,2022-11-23,Savings,151138.28,380,Defaulted,,,,,,,,,14445,2024-06-11 08:42:26,Withdrawal,3139.56,Online,,Success
75,Pranay,Chaudry,M,1990-05-04,Hyderabad,Sikkim,Retired,2021-02-22,Savings,134123.73,301,Defaulted,932.0,Business,4199772.21,10.94,48.0,2024-12-16,2028-12-16,Defaulted,17527,2025-01-03 15:33:50,Withdrawal,1047.39,ATM,,Success
76,Nakul,Deo,O,2003-07-03,Kolkata,Madhya Pradesh,Student,2021-02-09,Current,251836.83,524,Closed,,,,,,,,,15070,2025-09-23 23:05:30,Transfer,35224.89,Branch,Flipkart,Success
77,Amira,Dugar,M,1963-09-02,Bangalore,Tripura,Business,2020-11-13,Savings,317541.32,429,Closed,,,,,,,,,13077,2023-10-11 15:44:06,Withdrawal,1483.38,Online,,Pending
78,Amira,Rastogi,O,1959-09-14,Pune,Odisha,Other,2015-12-03,Fixed Deposit,265936.36,715,Closed,,,,,,,,,7956,2024-02-09 13:00:50,Deposit,9644.41,ATM,,Success
79,Heer,Chhabra,F,1961-07-27,Bangalore,Mizoram,Other,2017-01-04,Savings,296755.67,738,No Loan,,,,,,,,,32472,2025-07-09 20:35:43,Transfer,11007.43,Online,Flipkart,Pending
80,Stuvan,Wadhwa,M,1972-10-23,Ahmedabad,Assam,Doctor,2018-01-07,Current,381048.19,422,No Loan,,,,,,,,,36258,2025-08-15 04:36:06,Withdrawal,464.34,Branch,,Pending
81,Raunak,Brar,F,1971-05-22,Chennai,Manipur,Other,2022-01-19,Current,121837.81,593,Closed,,,,,,,,,1057,2024-09-25 10:47:06,Bill Payment,9659.05,Branch,Amazon,Success
82,Manjari,Swamy,M,1991-09-24,Hyderabad,Rajasthan,Business,2020-11-28,Salary,184523.78,497,Defaulted,,,,,,,,,34709,2023-11-24 22:02:39,Withdrawal,22389.79,UPI,,Pending
83,Nitya,Taneja,M,1990-10-04,Chennai,Nagaland,Teacher,2015-11-24,Fixed Deposit,200013.4,810,Defaulted,,,,,,,,,45813,2025-04-25 21:33:13,Withdrawal,5050.89,UPI,,Success
84,Himmat,Deo,M,1975-02-20,Delhi,Bihar,Teacher,2017-07-11,Current,46054.6,500,Defaulted,,,,,,,,,48023,2024-11-16 21:16:35,Deposit,9174.69,Branch,,Success
85,Indrans,Deshpande,M,1962-01-18,Delhi,Jharkhand,Student,2025-03-05,Fixed Deposit,161069.25,625,Defaulted,912.0,Home,2034468.48,12.59,36.0,2021-03-10,2024-03-10,Active,22115,2025-07-31 00:55:52,Deposit,12789.89,UPI,,Success
86,Saanvi,Garg,O,1995-12-04,Pune,Gujarat,Business,2019-05-07,Savings,348210.59,702,No Loan,38.0,Education,3207219.79,6.57,60.0,2023-10-15,2028-10-15,Defaulted,29954,2025-08-06 22:22:31,Withdrawal,2932.32,Branch,,Success
86,Saanvi,Garg,O,1995-12-04,Pune,Gujarat,Business,2019-05-07,Savings,348210.59,702,No Loan,425.0,Business,2240332.0,11.68,60.0,2025-02-21,2030-02-21,Defaulted,29954,2025-08-06 22:22:31,Withdrawal,2932.32,Branch,,Success
87,Dishani,Konda,O,2001-07-19,Hyderabad,Himachal Pradesh,Teacher,2020-04-03,Savings,355863.62,810,No Loan,,,,,,,,,18048,2023-12-04 21:55:55,Transfer,1995.72,UPI,Electricity Board,Failed
88,Myra,Kakar,M,1958-03-22,Hyderabad,Uttarakhand,Teacher,2017-05-02,Fixed Deposit,114021.39,788,Active,1945.0,Car,1121393.26,12.92,120.0,2024-03-22,2034-03-22,Active,49096,2025-03-16 16:04:39,Transfer,10437.68,Online,Water Board,Success
89,Aarav,Ganesan,O,1973-08-04,Pune,Tripura,Student,2016-07-06,Salary,345777.93,850,Active,,,,,,,,,25340,2024-08-24 13:29:23,Deposit,507.55,Online,,Success
90,Ishaan,Shanker,O,1963-09-01,Chennai,Manipur,Student,2020-03-21,Salary,468428.26,772,No Loan,,,,,,,,,40543,2024-03-24 08:05:45,Withdrawal,11785.49,UPI,,Success
91,Jhanvi,Agrawal,F,1992-04-22,Kolkata,Bihar,Retired,2023-01-15,Salary,105326.74,714,Closed,1410.0,Education,370622.39,12.41,12.0,2023-01-12,2024-01-12,Defaulted,26238,2025-09-16 08:08:14,Transfer,19810.15,Branch,PhonePe,Success
92,Inaaya ,Badami,M,1959-11-20,Kolkata,Uttarakhand,Retired,2018-04-20,Fixed Deposit,438792.34,562,Closed,,,,,,,,,32445,2025-08-15 21:41:04,Withdrawal,3693.77,Online,,Success
93,Ishita,Borah,O,1979-11-21,Chennai,Maharashtra,Business,2025-09-03,Savings,330332.04,645,Defaulted,,,,,,,,,33464,2024-09-29 09:03:46,Withdrawal,10749.44,ATM,,Success
94,Ryan,Gopal,F,1963-06-09,Hyderabad,Uttar Pradesh,Business,2016-06-22,Salary,491102.0,301,No Loan,,,,,,,,,44830,2024-09-20 22:27:57,Withdrawal,5212.67,ATM,,Success
95,Lakshay,Sanghvi,F,1957-06-24,Ahmedabad,Haryana,Retired,2021-11-07,Current,498130.6,553,No Loan,,,,,,,,,37165,2025-01-06 12:12:07,Withdrawal,162.18,ATM,,Success
96,Sumer,Sridhar,O,2000-02-24,Bangalore,Nagaland,Retired,2017-07-06,Savings,448710.66,336,Defaulted,,,,,,,,,32556,2024-12-28 16:12:03,Deposit,27934.15,Branch,,Success
97,Miraan,Venkatesh,O,1982-06-02,Pune,Goa,Engineer,2018-05-24,Current,441435.54,308,Defaulted,,,,,,,,,20060,2025-09-17 17:42:07,Deposit,6437.31,ATM,,Success
98,Anay,Chakraborty,M,1966-10-24,Hyderabad,Telangana,Doctor,2022-10-11,Savings,140156.8,507,Active,1482.0,Personal,4577592.28,11.1,48.0,2022-07-16,2026-07-16,Defaulted,10965,2024-07-30 08:53:58,Transfer,1129.31,Online,Amazon,Success
99,Zaina,Sami,M,1977-05-15,Ahmedabad,West Bengal,Student,2022-10-08,Savings,448658.02,451,No Loan,663.0,Education,3408046.07,11.78,24.0,2022-10-11,2024-10-11,Defaulted,1699,2025-01-16 20:24:51,Withdrawal,8332.2,Branch,,Success
100,Priyansh,Buch,F,2004-10-13,Hyderabad,Uttar Pradesh,Retired,2019-12-27,Fixed Deposit,202849.56,719,No Loan,,,,,,,,,43061,2024-07-02 17:01:48,Deposit,11939.45,Online,,Failed
101,Vaibhav,Viswanathan,F,2002-06-27,Hyderabad,Arunachal Pradesh,Doctor,2017-08-08,Savings,449378.54,553,Active,,,,,,,,,27876,2024-01-19 05:25:01,Transfer,5603.49,Online,PhonePe,Success
102,Krish,Taneja,F,1986-10-18,Hyderabad,Manipur,Doctor,2019-07-20,Fixed Deposit,5589.33,809,Active,,,,,,,,,1017,2024-04-14 16:59:54,Transfer,2322.81,ATM,PayTM,Success
103,Yashvi,Viswanathan,O,1978-07-23,Hyderabad,Haryana,Other,2020-12-15,Savings,470126.59,452,No Loan,,,,,,,,,7954,2025-04-08 19:52:49,Deposit,1672.49,ATM,,Success
104,Nirvi,Char,M,1969-12-07,Ahmedabad,Madhya Pradesh,Retired,2016-03-02,Salary,3525.73,637,No Loan,,,,,,,,,29715,2025-05-18 16:47:41,Deposit,12729.68,ATM,,Success
105,Darshit,Som,O,1977-02-06,Kolkata,Himachal Pradesh,Other,2020-07-03,Fixed Deposit,243321.26,462,Closed,,,,,,,,,22312,2023-11-21 23:58:11,Transfer,4512.02,Online,Water Board,Success
106,Yakshit,Sane,O,1978-08-29,Ahmedabad,Uttarakhand,Business,2024-06-06,Salary,326328.67,460,Closed,573.0,Business,2999837.72,11.65,24.0,2024-03-28,2026-03-28,Closed,16615,2024-06-05 02:19:13,Deposit,7707.67,Online,,Failed
107,Aniruddh,Bhardwaj,O,1991-04-03,Chennai,Himachal Pradesh,Other,2021-05-25,Fixed Deposit,10019.61,697,Closed,1003.0,Home,154760.88,9.19,120.0,2024-02-07,2034-02-07,Closed,10917,2025-04-30 17:55:12,Deposit,6060.26,ATM,,Success
108,Prerak,Bahl,F,1966-12-01,Ahmedabad,Bihar,Engineer,2025-08-22,Salary,163374.45,803,Closed,,,,,,,,,11260,2024-07-06 16:53:14,Deposit,2379.79,Online,,Success
