customer_id,first_name,last_name,full_name,gender,dob,age,city,state,occupation,income,account_type,account_open_date,account_age,balance,credit_score,loan_status
17,Ishaan,Goyal,Ishaan Goyal,Female,09-01-1998,27,Hyderabad,Kerala,Retired,348167,Salary,20-12-2021,3,225799.13,573,Active
18,Rati,Sanghvi,Rati Sanghvi,Male,08-01-1969,56,Mumbai,Rajasthan,Other,111090,Salary,21-04-2020,5,474493.88,615,No Loan
19,Hazel,Sethi,Hazel Sethi,Female,16-08-1959,66,Delhi,Haryana,Doctor,399365,Salary,04-09-2018,7,282080.82,645,Closed
20,Vaibhav,Deshmukh,Vaibhav Deshmukh,Others,19-11-1965,59,Ahmedabad,Rajasthan,Business,134820,Fixed Deposit,18-08-2023,2,49738.38,639,Closed
21,Madhup,Sani,Madhup Sani,Female,05-08-2001,24,Bangalore,Karnataka,Doctor,857201,Salary,28-03-2025,0,121271.71,754,No Loan
22,Manikya,Tara,Manikya Tara,Others,18-01-2007,18,Kolkata,Arunachal Pradesh,Teacher,391879,Current,18-09-2016,9,305388.33,334,Closed
23,Priyansh,Bali,Priyansh Bali,Others,25-03-1976,49,Ahmedabad,Gujarat,Engineer,788315,Savings,03-08-2022,3,454750.88,687,Active
24,Lakshit,Sagar,Lakshit Sagar,Male,12-05-1993,32,Bangalore,Meghalaya,Other,397069,Fixed Deposit,12-02-2021,4,156543.83,689,Active
25,Hridaan,Deo,Hridaan Deo,Female,08-09-1981,44,Kolkata,Chhattisgarh,Student,846997,Fixed Deposit,28-07-2023,2,104762.89,776,Defaulted
26,Heer,Deep,Heer Deep,Others,19-07-1971,54,Mumbai,Telangana,Retired,269041,Savings,25-04-2025,0,484822.73,461,Defaulted
27,Keya,Iyengar,Keya Iyengar,Others,18-07-1994,31,Pune,Kerala,Engineer,861743,Salary,20-01-2023,2,198179.97,569,No Loan
28,Diya,Koshy,Diya Koshy,Male,09-09-1969,56,Ahmedabad,Assam,Engineer,173355,Salary,12-02-2018,7,363908.73,570,Closed
29,Faiyaz,Bose,Faiyaz Bose,Others,13-03-2006,19,Delhi,Rajasthan,Other,305796,Salary,25-07-2016,9,45157.76,551,Closed
30,Kimaya,Balay,Kimaya Balay,Male,26-08-1965,60,Pune,Madhya Pradesh,Other,284176,Current,12-12-2022,2,23568.42,595,Active
31,Eva,Dass,Eva Dass,Others,25-09-1980,45,Pune,Nagaland,Business,254779,Savings,23-09-2023,2,422422.39,637,Active
32,Pihu,Wali,Pihu Wali,Female,19-07-1955,70,Chennai,Nagaland,Doctor,417449,Savings,17-09-2017,8,270306.37,516,Closed
33,Tiya,Rege,Tiya Rege,Others,11-11-2005,19,Delhi,Karnataka,Engineer,491909,Fixed Deposit,20-04-2020,5,141186.32,679,Active
34,Adira,Brar,Adira Brar,Others,10-05-1962,63,Bangalore,Manipur,Doctor,328795,Fixed Deposit,03-10-2020,5,138723.59,456,Closed
35,Damini,Singh,Damini Singh,Female,26-12-1954,70,Kolkata,Goa,Doctor,556232,Current,30-03-2020,5,401296.29,364,Defaulted
36,Mishti,Dixit,Mishti Dixit,Female,24-04-1989,36,Pune,Uttarakhand,Business,987040,Fixed Deposit,29-07-2017,8,8802.57,820,Active
37,Mahika,Chaudhary,Mahika Chaudhary,Male,31-03-1998,27,Hyderabad,Chhattisgarh,Engineer,570186,Salary,26-05-2024,1,386350.14,771,Active
38,Hrishita,Sood,Hrishita Sood,Others,17-03-1980,45,Hyderabad,Mizoram,Student,226730,Current,06-07-2018,7,8025.83,798,Active
39,Ayesha,Andra,Ayesha Andra,Male,21-10-1954,71,Mumbai,Bihar,Doctor,940910,Savings,12-04-2021,4,353721.81,718,Active
40,Nakul,Balakrishnan,Nakul Balakrishnan,Female,19-06-1979,46,Delhi,Haryana,Student,454681,Current,29-12-2020,4,385863.9,789,Defaulted
41,Dharmajan,Setty,Dharmajan Setty,Others,16-05-1993,32,Ahmedabad,Meghalaya,Doctor,219503,Current,07-02-2017,8,179874.4,340,No Loan
42,Tiya,Bhatnagar,Tiya Bhatnagar,Male,23-06-1959,66,Ahmedabad,Chhattisgarh,Other,724811,Fixed Deposit,29-10-2024,0,457564.88,500,Closed
43,Ira,Butala,Ira Butala,Male,30-08-1999,26,Delhi,Himachal Pradesh,Retired,597035,Fixed Deposit,07-11-2023,1,312025.77,332,Defaulted
44,Lakshit,Madan,Lakshit Madan,Female,03-09-1990,35,Kolkata,Tripura,Business,718143,Savings,18-12-2022,2,32715.62,706,Active
45,Riya,Dugal,Riya Dugal,Male,08-06-2004,21,Kolkata,Madhya Pradesh,Retired,522366,Salary,09-03-2019,6,334751.79,398,Active
46,Advika,Yogi,Advika Yogi,Male,21-06-2000,25,Hyderabad,Mizoram,Doctor,135725,Fixed Deposit,12-02-2022,3,296057.6,846,Closed
47,Nishith,Chowdhury,Nishith Chowdhury,Female,27-06-1985,40,Bangalore,Assam,Teacher,199981,Fixed Deposit,27-10-2017,7,236635.25,761,Closed
48,Khushi,Malhotra,Khushi Malhotra,Male,09-10-1977,48,Ahmedabad,Haryana,Other,154654,Savings,14-02-2016,9,424608,304,Active
49,Aarush,Banik,Aarush Banik,Others,22-10-1994,31,Mumbai,Tamil Nadu,Engineer,975778,Current,06-07-2019,6,281077.32,697,Closed
50,Manikya,Bandi,Manikya Bandi,Female,17-09-1997,28,Ahmedabad,Arunachal Pradesh,Business,661723,Current,06-10-2016,9,247404,692,No Loan
51,Drishya,Dani,Drishya Dani,Male,01-04-1977,48,Bangalore,Himachal Pradesh,Business,389030,Savings,20-12-2016,8,355620.78,760,No Loan
52,Lakshit,Madan,Lakshit Madan,Female,15-04-2000,25,Ahmedabad,Chhattisgarh,Teacher,398947,Fixed Deposit,09-01-2024,1,101657.88,540,No Loan
53,Kashvi,Khalsa,Kashvi Khalsa,Male,28-12-2003,21,Hyderabad,Haryana,Teacher,625839,Current,24-06-2025,0,157863.63,395,Active
54,Kanav,Batta,Kanav Batta,Others,13-12-1986,38,Mumbai,Bihar,Retired,972648,Salary,09-09-2022,3,348062.53,784,Active
55,Sumer,Kakar,Sumer Kakar,Male,11-08-1999,26,Ahmedabad,Maharashtra,Student,343538,Current,05-02-2023,2,125396.82,470,Active
56,Pari,Sachdeva,Pari Sachdeva,Others,18-07-1986,39,Delhi,Rajasthan,Other,401236,Current,07-09-2016,9,102327.55,824,Active
57,Yuvaan,Seth,Yuvaan Seth,Others,18-06-1961,64,Delhi,Karnataka,Retired,598178,Current,17-10-2016,9,39412.98,542,No Loan
58,Kartik,Chandran,Kartik Chandran,Male,14-03-1962,63,Hyderabad,Nagaland,Student,635894,Savings,30-12-2019,5,81449.42,327,Active
59,Aarna,Chand,Aarna Chand,Female,17-04-1985,40,Pune,Himachal Pradesh,Teacher,559492,Current,24-02-2018,7,110001.78,639,Defaulted
60,Dhanuk,Kant,Dhanuk Kant,Male,31-03-1986,39,Chennai,Uttar Pradesh,Business,326840,Current,06-01-2020,5,446386.94,630,Defaulted
61,Badal,Sachdev,Badal Sachdev,Female,19-03-1992,33,Pune,Nagaland,Other,543254,Savings,06-06-2017,8,162848.17,647,Active
62,Suhana,Vala,Suhana Vala,Female,08-10-1955,70,Delhi,Haryana,Engineer,419457,Current,08-05-2017,8,178792.62,489,Defaulted
63,Aradhya,Khosla,Aradhya Khosla,Male,30-01-1966,59,Pune,Gujarat,Engineer,735987,Current,05-09-2022,3,55915.91,676,Defaulted
64,Ivan,Gupta,Ivan Gupta,Female,20-01-1982,43,Bangalore,Andhra Pradesh,Business,340936,Salary,05-10-2016,9,324197.37,558,Active
65,Vardaniya,Srinivasan,Vardaniya Srinivasan,Others,01-05-1981,44,Chennai,Manipur,Retired,309931,Savings,10-04-2020,5,4469.11,755,Closed
66,Rasha,Setty,Rasha Setty,Female,05-03-1974,51,Delhi,Uttar Pradesh,Engineer,309629,Current,17-12-2022,2,267510.62,617,Defaulted
67,Indrans,Chandran,Indrans Chandran,Female,01-08-1992,33,Hyderabad,Jharkhand,Retired,275041,Salary,17-01-2024,1,111831.8,533,Closed
68,Kavya,Shah,Kavya Shah,Others,30-07-1969,56,Chennai,Nagaland,Student,768361,Fixed Deposit,04-10-2016,9,169469.97,673,Defaulted
69,Bhavin,Bakshi,Bhavin Bakshi,Male,30-11-1958,66,Delhi,Odisha,Retired,801912,Fixed Deposit,05-02-2021,4,110163.35,771,Defaulted
70,Eva,Brar,Eva Brar,Male,18-03-1987,38,Mumbai,Arunachal Pradesh,Teacher,487113,Current,26-04-2024,1,351806.46,412,Defaulted
71,Kabir,Banerjee,Kabir Banerjee,Male,28-04-1989,36,Ahmedabad,Punjab,Student,138148,Fixed Deposit,15-02-2017,8,33381.23,741,Active
72,Yuvaan,Bhasin,Yuvaan Bhasin,Male,23-05-1959,66,Delhi,Odisha,Retired,847089,Current,07-10-2019,6,481261.2,809,Active
73,Kimaya,Bahri,Kimaya Bahri,Female,09-07-1971,54,Bangalore,Punjab,Business,718531,Current,12-08-2025,0,348455.83,686,Active
74,Nirvi,Manne,Nirvi Manne,Female,05-05-1960,65,Pune,Odisha,Other,321995,Savings,23-11-2022,2,151138.28,380,Defaulted
75,Pranay,Chaudry,Pranay Chaudry,Male,04-05-1990,35,Hyderabad,Sikkim,Retired,976606,Savings,22-02-2021,4,134123.73,301,Defaulted
76,Nakul,Deo,Nakul Deo,Others,03-07-2003,22,Kolkata,Madhya Pradesh,Student,748843,Current,09-02-2021,4,251836.83,524,Closed
77,Amira,Dugar,Amira Dugar,Male,02-09-1963,62,Bangalore,Tripura,Business,980790,Savings,13-11-2020,4,317541.32,429,Closed
78,Amira,Rastogi,Amira Rastogi,Others,14-09-1959,66,Pune,Odisha,Other,642843,Fixed Deposit,03-12-2015,9,265936.36,715,Closed
79,Heer,Chhabra,Heer Chhabra,Female,27-07-1961,64,Bangalore,Mizoram,Other,326508,Savings,04-01-2017,8,296755.67,738,No Loan
80,Stuvan,Wadhwa,Stuvan Wadhwa,Male,23-10-1972,53,Ahmedabad,Assam,Doctor,873591,Current,07-01-2018,7,381048.19,422,No Loan
81,Raunak,Brar,Raunak Brar,Female,22-05-1971,54,Chennai,Manipur,Other,966942,Current,19-01-2022,3,121837.81,593,Closed
82,Manjari,Swamy,Manjari Swamy,Male,24-09-1991,34,Hyderabad,Rajasthan,Business,176530,Salary,28-11-2020,4,184523.78,497,Defaulted
83,Nitya,Taneja,Nitya Taneja,Male,04-10-1990,35,Chennai,Nagaland,Teacher,674365,Fixed Deposit,24-11-2015,9,200013.4,810,Defaulted
84,Himmat,Deo,Himmat Deo,Male,20-02-1975,50,Delhi,Bihar,Teacher,892352,Current,11-07-2017,8,46054.6,500,Defaulted
85,Indrans,Deshpande,Indrans Deshpande,Male,18-01-1962,63,Delhi,Jharkhand,Student,530337,Fixed Deposit,05-03-2025,0,161069.25,625,Defaulted
86,Saanvi,Garg,Saanvi Garg,Others,04-12-1995,29,Pune,Gujarat,Business,794839,Savings,07-05-2019,6,348210.59,702,No Loan
87,Dishani,Konda,Dishani Konda,Others,19-07-2001,24,Hyderabad,Himachal Pradesh,Teacher,875889,Savings,03-04-2020,5,355863.62,810,No Loan
88,Myra,Kakar,Myra Kakar,Male,22-03-1958,67,Hyderabad,Uttarakhand,Teacher,529773,Fixed Deposit,02-05-2017,8,114021.39,788,Active
89,Aarav,Ganesan,Aarav Ganesan,Others,04-08-1973,52,Pune,Tripura,Student,278261,Salary,06-07-2016,9,345777.93,850,Active
90,Ishaan,Shanker,Ishaan Shanker,Others,01-09-1963,62,Chennai,Manipur,Student,834469,Salary,21-03-2020,5,468428.26,772,No Loan
91,Jhanvi,Agrawal,Jhanvi Agrawal,Female,22-04-1992,33,Kolkata,Bihar,Retired,411097,Salary,15-01-2023,2,105326.74,714,Closed
92,Inaaya ,Badami,Inaaya  Badami,Male,20-11-1959,65,Kolkata,Uttarakhand,Retired,385139,Fixed Deposit,20-04-2018,7,438792.34,562,Closed
93,Ishita,Borah,Ishita Borah,Others,21-11-1979,45,Chennai,Maharashtra,Business,241829,Savings,03-09-2025,0,330332.04,645,Defaulted
94,Ryan,Gopal,Ryan Gopal,Female,09-06-1963,62,Hyderabad,Uttar Pradesh,Business,341836,Salary,22-06-2016,9,491102,301,No Loan
95,Lakshay,Sanghvi,Lakshay Sanghvi,Female,24-06-1957,68,Ahmedabad,Haryana,Retired,508974,Current,07-11-2021,3,498130.6,553,No Loan
96,Sumer,Sridhar,Sumer Sridhar,Others,24-02-2000,25,Bangalore,Nagaland,Retired,272283,Savings,06-07-2017,8,448710.66,336,Defaulted
97,Miraan,Venkatesh,Miraan Venkatesh,Others,02-06-1982,43,Pune,Goa,Engineer,266769,Current,24-05-2018,7,441435.54,308,Defaulted
98,Anay,Chakraborty,Anay Chakraborty,Male,24-10-1966,59,Hyderabad,Telangana,Doctor,631353,Savings,11-10-2022,3,140156.8,507,Active
99,Zaina,Sami,Zaina Sami,Male,15-05-1977,48,Ahmedabad,West Bengal,Student,293165,Savings,08-10-2022,3,448658.02,451,No Loan
100,Priyansh,Buch,Priyansh Buch,Female,13-10-2004,21,Hyderabad,Uttar Pradesh,Retired,693587,Fixed Deposit,27-12-2019,5,202849.56,719,No Loan
101,Vaibhav,Viswanathan,Vaibhav Viswanathan,Female,27-06-2002,23,Hyderabad,Arunachal Pradesh,Doctor,605822,Savings,08-08-2017,8,449378.54,553,Active
102,Krish,Taneja,Krish Taneja,Female,18-10-1986,39,Hyderabad,Manipur,Doctor,557879,Fixed Deposit,20-07-2019,6,5589.33,809,Active
103,Yashvi,Viswanathan,Yashvi Viswanathan,Others,23-07-1978,47,Hyderabad,Haryana,Other,634685,Savings,15-12-2020,4,470126.59,452,No Loan
104,Nirvi,Char,Nirvi Char,Male,07-12-1969,55,Ahmedabad,Madhya Pradesh,Retired,852038,Salary,02-03-2016,9,3525.73,637,No Loan
105,Darshit,Som,Darshit Som,Others,06-02-1977,48,Kolkata,Himachal Pradesh,Other,423531,Fixed Deposit,03-07-2020,5,243321.26,462,Closed
106,Yakshit,Sane,Yakshit Sane,Others,29-08-1978,47,Ahmedabad,Uttarakhand,Business,333160,Salary,06-06-2024,1,326328.67,460,Closed
107,Aniruddh,Bhardwaj,Aniruddh Bhardwaj,Others,03-04-1991,34,Chennai,Himachal Pradesh,Other,649879,Fixed Deposit,25-05-2021,4,10019.61,697,Closed
108,Prerak,Bahl,Prerak Bahl,Female,01-12-1966,58,Ahmedabad,Bihar,Engineer,290884,Salary,22-08-2025,0,163374.45,803,Closed
109,Shray,Sethi,Shray Sethi,Female,12-05-1995,30,Pune,Uttar Pradesh,Teacher,93247,Savings,27-02-2023,2,325166.82,434,Closed
110,Mahika,Kumer,Mahika Kumer,Male,10-02-1976,49,Hyderabad,Bihar,Business,94300,Current,10-03-2023,2,360749.02,332,Closed
111,Kanav,Datta,Kanav Datta,Male,23-12-1980,44,Kolkata,Arunachal Pradesh,Business,537281,Salary,28-07-2025,0,271727.58,769,No Loan
112,Aarav,Lad,Aarav Lad,Female,30-12-2002,22,Mumbai,Uttar Pradesh,Doctor,677086,Fixed Deposit,08-03-2023,2,133335.98,337,No Loan
113,Tejas,Kale,Tejas Kale,Others,29-05-1991,34,Mumbai,Assam,Other,603556,Fixed Deposit,12-02-2019,6,489467.54,737,No Loan
114,Misha,Dugar,Misha Dugar,Male,19-12-1999,25,Pune,Sikkim,Teacher,418951,Fixed Deposit,19-05-2021,4,453143.3,326,No Loan
115,Dishani,Dubey,Dishani Dubey,Others,31-03-1963,62,Hyderabad,Sikkim,Business,344329,Current,15-11-2020,4,397610.84,583,Defaulted
116,Yuvaan,Sarin,Yuvaan Sarin,Female,22-07-1982,43,Ahmedabad,Jharkhand,Engineer,789064,Fixed Deposit,24-04-2021,4,334793.11,780,Defaulted
117,Kartik,Kade,Kartik Kade,Others,28-06-1992,33,Kolkata,Sikkim,Retired,812139,Current,05-12-2017,7,98426.25,815,No Loan
118,Mannat,Mane,Mannat Mane,Male,25-07-1980,45,Mumbai,Jharkhand,Business,502315,Savings,22-09-2018,7,13133.67,348,Active
119,Aarav,Doshi,Aarav Doshi,Others,26-05-1982,43,Kolkata,Jharkhand,Doctor,996075,Fixed Deposit,31-01-2025,0,22758.28,471,Closed
120,Vedika,Mann,Vedika Mann,Male,25-01-1969,56,Chennai,Punjab,Business,586588,Salary,29-01-2023,2,470288.83,776,Closed
121,Anahita,Kant,Anahita Kant,Female,26-04-1999,26,Pune,Manipur,Teacher,306584,Fixed Deposit,31-03-2021,4,140500.61,817,Defaulted
122,Diya,Khalsa,Diya Khalsa,Female,27-09-2000,25,Chennai,Uttar Pradesh,Other,632332,Savings,26-05-2019,6,185709.19,336,No Loan
123,Nirvi,Basak,Nirvi Basak,Male,05-11-2004,20,Mumbai,Jharkhand,Teacher,907646,Current,26-08-2018,7,464230.96,796,Active
124,Divij,Tank,Divij Tank,Others,03-11-1989,35,Mumbai,Tripura,Other,446896,Savings,19-06-2021,4,276829.72,398,Closed
125,Mamooty,Swaminathan,Mamooty Swaminathan,Male,30-09-1970,55,Mumbai,Gujarat,Student,118984,Current,16-01-2021,4,490185.46,415,Closed
126,Azad,Das,Azad Das,Male,16-10-1964,61,Ahmedabad,Meghalaya,Retired,372918,Savings,06-03-2016,9,147930,460,Closed
127,Amani,Johal,Amani Johal,Female,12-05-1996,29,Chennai,Rajasthan,Other,334712,Salary,01-01-2017,8,159144.08,427,Closed
128,Saanvi,Sarin,Saanvi Sarin,Others,09-12-1993,31,Delhi,Madhya Pradesh,Other,190151,Current,27-01-2019,6,186970.75,622,Defaulted
129,Nirvaan,Borah,Nirvaan Borah,Male,28-05-1988,37,Mumbai,Rajasthan,Teacher,525808,Fixed Deposit,25-07-2022,3,285460.52,587,No Loan
130,Suhana,Vasa,Suhana Vasa,Others,22-07-2001,24,Hyderabad,Tripura,Engineer,203767,Current,10-11-2015,9,335900.61,454,Active
131,Madhup,Chakrabarti,Madhup Chakrabarti,Others,07-01-1962,63,Chennai,Uttar Pradesh,Other,718663,Savings,30-12-2022,2,148350,403,Active
132,Anahi,Bakshi,Anahi Bakshi,Female,13-02-2002,23,Kolkata,Nagaland,Retired,773550,Salary,29-07-2024,1,348810.85,545,Active
133,Amani,Bhavsar,Amani Bhavsar,Others,21-09-1971,54,Pune,Uttar Pradesh,Engineer,206330,Fixed Deposit,30-10-2017,7,180386.08,776,No Loan
134,Jhanvi,Rajan,Jhanvi Rajan,Male,20-05-1986,39,Kolkata,Karnataka,Teacher,550754,Fixed Deposit,19-10-2024,1,148958.56,837,Closed
135,Manjari,Tandon,Manjari Tandon,Female,27-02-2006,19,Bangalore,Telangana,Retired,371648,Salary,18-04-2023,2,405246.58,707,No Loan
136,Ira,Kapoor,Ira Kapoor,Female,11-02-1989,36,Kolkata,Goa,Other,758519,Salary,09-01-2023,2,456707.04,805,Defaulted
137,Alisha,Dayal,Alisha Dayal,Male,15-05-2005,20,Delhi,Tripura,Teacher,83986,Fixed Deposit,03-11-2023,1,3587.25,335,Closed
138,Tiya,Sood,Tiya Sood,Female,04-08-1971,54,Kolkata,Mizoram,Teacher,656146,Savings,25-06-2020,5,399349.29,620,No Loan
139,Raghav,Kannan,Raghav Kannan,Female,28-09-1987,38,Bangalore,Assam,Business,199312,Current,01-11-2019,5,36399.52,699,Defaulted
140,Miraan,Deshpande,Miraan Deshpande,Female,28-04-2003,22,Pune,Karnataka,Teacher,82666,Salary,16-08-2020,5,26333.5,770,Active
141,Dhanush,Biswas,Dhanush Biswas,Others,09-07-1976,49,Hyderabad,Chhattisgarh,Engineer,370804,Current,14-12-2024,0,14780.77,653,No Loan
142,Rania,Bose,Rania Bose,Female,03-07-1970,55,Hyderabad,Tamil Nadu,Retired,204633,Fixed Deposit,13-04-2022,3,47896.99,350,No Loan
143,Zeeshan,Jani,Zeeshan Jani,Female,28-04-1969,56,Mumbai,Karnataka,Engineer,358998,Salary,09-11-2016,8,233333.41,489,Closed
144,Zeeshan,Balasubramanian,Zeeshan Balasubramanian,Female,09-09-1991,34,Hyderabad,Gujarat,Teacher,920937,Salary,10-09-2023,2,143984.08,613,No Loan
145,Trisha,Master,Trisha Master,Others,10-05-1983,42,Pune,Tamil Nadu,Business,698776,Salary,23-05-2022,3,430341.9,604,Defaulted
146,Vaibhav,Khare,Vaibhav Khare,Others,04-02-1956,69,Ahmedabad,Andhra Pradesh,Teacher,777611,Salary,23-07-2025,0,19636.75,353,Defaulted
147,Suhana,Hayer,Suhana Hayer,Male,14-09-1978,47,Delhi,West Bengal,Retired,354806,Current,04-11-2020,4,269004.13,563,Defaulted
148,Siya,Shah,Siya Shah,Male,12-04-1983,42,Bangalore,Nagaland,Doctor,864824,Current,02-12-2024,0,385226.78,304,No Loan
149,Aradhya,Choudhary,Aradhya Choudhary,Female,25-10-1995,30,Chennai,Himachal Pradesh,Engineer,100535,Current,08-07-2019,6,229175.32,649,Defaulted
150,Aniruddh,Hayer,Aniruddh Hayer,Male,03-06-1984,41,Pune,Karnataka,Doctor,445713,Salary,10-01-2024,1,270776.93,568,Active
151,Samaira,Butala,Samaira Butala,Others,12-04-2000,25,Bangalore,Uttarakhand,Teacher,908688,Savings,23-08-2022,3,484798.9,405,Active
152,Misha,Loke,Misha Loke,Others,28-07-1986,39,Chennai,Andhra Pradesh,Retired,421279,Current,08-12-2017,7,162155.28,419,No Loan
153,Nitara,Arya,Nitara Arya,Male,30-07-1981,44,Mumbai,Assam,Student,983910,Salary,14-05-2025,0,136145.29,357,No Loan
154,Himmat,Verma,Himmat Verma,Female,03-07-1998,27,Ahmedabad,Manipur,Teacher,891654,Current,21-01-2023,2,40149.73,773,Active
155,Pranay,Gupta,Pranay Gupta,Female,17-02-1967,58,Ahmedabad,Karnataka,Engineer,671661,Savings,14-08-2016,9,481361.56,426,No Loan
156,Shaan,Ganguly,Shaan Ganguly,Female,02-03-1969,56,Delhi,Tripura,Student,717972,Savings,02-07-2023,2,348291.13,357,Closed
157,Suhana,Thakur,Suhana Thakur,Male,25-07-1980,45,Chennai,Maharashtra,Engineer,559570,Current,01-07-2020,5,457691.65,395,Active
158,Anaya,Andra,Anaya Andra,Others,07-12-1971,53,Kolkata,Telangana,Student,526551,Current,26-02-2017,8,275064.11,787,No Loan
159,Stuvan,Choudhury,Stuvan Choudhury,Female,22-06-1991,34,Ahmedabad,Rajasthan,Teacher,343109,Fixed Deposit,25-08-2016,9,467372.38,571,Defaulted
160,Tanya,Aurora,Tanya Aurora,Others,08-06-1959,66,Mumbai,Haryana,Student,94538,Savings,13-06-2016,9,258831.43,746,Closed
161,Misha,Bose,Misha Bose,Others,01-05-1968,57,Hyderabad,Haryana,Teacher,964498,Savings,10-02-2016,9,218400.78,546,Closed
162,Oorja,Bhandari,Oorja Bhandari,Male,10-05-1963,62,Bangalore,Odisha,Student,271664,Savings,27-10-2023,1,24810.35,453,Closed
163,Rati,Dave,Rati Dave,Male,06-08-1969,56,Kolkata,Tripura,Business,561234,Fixed Deposit,04-09-2023,2,178630.37,385,Defaulted
164,Mahika,Raman,Mahika Raman,Male,13-11-1979,45,Hyderabad,Telangana,Teacher,969684,Salary,14-08-2018,7,8182.35,519,No Loan
165,Vanya,Tank,Vanya Tank,Male,25-08-2003,22,Hyderabad,Goa,Teacher,209182,Current,17-09-2017,8,23955.32,393,No Loan
166,Kavya,Arya,Kavya Arya,Male,06-12-1975,49,Hyderabad,Jharkhand,Retired,542525,Current,08-08-2017,8,427874.83,752,Defaulted
167,Vivaan,Sehgal,Vivaan Sehgal,Male,12-12-1993,31,Delhi,Gujarat,Engineer,228338,Current,24-02-2022,3,237612.74,517,Defaulted
168,Ehsaan,Sarin,Ehsaan Sarin,Others,08-12-1959,65,Chennai,Tripura,Business,254064,Savings,24-11-2019,5,381918.85,640,No Loan
169,Yashvi,Mandal,Yashvi Mandal,Others,15-04-1975,50,Chennai,Uttar Pradesh,Retired,284020,Fixed Deposit,28-10-2017,7,237262.41,588,Defaulted
170,Hazel,Kala,Hazel Kala,Others,23-07-1957,68,Ahmedabad,Sikkim,Business,693094,Savings,02-09-2021,4,232872.23,656,Active
171,Dishani,Sabharwal,Dishani Sabharwal,Female,25-12-1979,45,Pune,Karnataka,Student,994414,Salary,08-12-2016,8,199853.86,821,Active
172,Ayesha,Bera,Ayesha Bera,Male,17-08-1955,70,Hyderabad,Maharashtra,Retired,967421,Savings,29-11-2022,2,474623.72,399,Defaulted
173,Rhea,Bose,Rhea Bose,Others,31-05-1979,46,Mumbai,Maharashtra,Other,685270,Current,02-08-2023,2,23606.7,522,No Loan
174,Nehmat,Deshmukh,Nehmat Deshmukh,Others,01-10-1966,59,Ahmedabad,Punjab,Teacher,715914,Current,22-08-2024,1,8636.97,741,No Loan
175,Anahita,Kamdar,Anahita Kamdar,Others,22-05-1991,34,Ahmedabad,Uttarakhand,Engineer,189176,Fixed Deposit,28-12-2023,1,251018.9,624,Defaulted
176,Samarth,Varkey,Samarth Varkey,Female,05-07-2004,21,Pune,Haryana,Teacher,987710,Savings,30-04-2020,5,342297.92,315,Closed
